index,n_particles,n_simulations,parallel_time,serial_time
0,1500,2,1.1893939971923828,0.03907132148742676
0,1750,2,1.2043142318725586,0.05685758590698242
0,2000,2,1.2514379024505615,0.06782412528991699
0,250,3,1.3839948177337646,0.0037043094635009766
0,500,3,1.3679442405700684,0.009100914001464844
0,750,3,1.3499855995178223,0.01626276969909668
0,1000,3,1.370873212814331,0.028009414672851562
0,1250,3,1.4003682136535645,0.044898271560668945
0,1500,3,1.4915575981140137,0.057259321212768555
0,1750,3,1.500157117843628,0.08363771438598633
0,2000,3,1.3673436641693115,0.12258601188659668
0,250,4,1.5935699939727783,0.004541158676147461
0,500,4,1.639021635055542,0.011241436004638672
0,750,4,1.653315782546997,0.027735471725463867
0,1000,4,1.6781718730926514,0.04181981086730957
0,1250,4,1.6730802059173584,0.06664681434631348
0,1500,4,1.6795988082885742,0.08356666564941406
0,1750,4,1.7036733627319336,0.12967514991760254
0,2000,4,1.757511854171753,0.18382954597473145
0,250,5,1.8570964336395264,0.0066606998443603516
0,500,5,1.8032474517822266,0.015163421630859375
0,750,5,1.8445720672607422,0.03091287612915039
0,1000,5,1.8693432807922363,0.04894375801086426
0,1250,5,1.8342924118041992,0.08083605766296387
0,1500,5,1.9400303363800049,0.1384589672088623
0,1750,5,1.908463954925537,0.1686253547668457
0,2000,5,2.034158945083618,0.18062949180603027
0,250,1,0.9336898326873779,0.001953125
0,500,1,0.9989645481109619,0.0032248497009277344
0,750,1,0.9339697360992432,0.0052337646484375
0,1000,1,0.9728572368621826,0.008942127227783203
0,1250,1,0.9903991222381592,0.01675724983215332
0,1500,1,0.9497878551483154,0.017022371292114258
0,1750,1,0.9774138927459717,0.023342370986938477
0,2000,1,0.9315938949584961,0.03350710868835449
0,250,2,1.1110777854919434,0.00290679931640625
0,500,2,1.180238962173462,0.0072345733642578125
0,750,2,1.0935003757476807,0.011054515838623047
0,1000,2,1.1072635650634766,0.02082967758178711
0,1250,2,1.1723380088806152,0.029715538024902344
0,1500,2,1.2209680080413818,0.0409693717956543
0,1750,2,1.1336684226989746,0.05566573143005371
0,2000,2,1.2292640209197998,0.06413507461547852
0,250,3,1.2673594951629639,0.003964900970458984
0,500,3,1.4682278633117676,0.008435249328613281
0,750,3,1.3927290439605713,0.01529550552368164
0,1000,3,1.481234073638916,0.028064727783203125
0,1250,3,1.3860349655151367,0.04474210739135742
0,1500,3,1.4885058403015137,0.06843805313110352
0,1750,3,1.4593255519866943,0.08845639228820801
0,2000,3,1.4594001770019531,0.1050713062286377
0,250,4,1.6011457443237305,0.004528522491455078
0,500,4,1.6728057861328125,0.012208223342895508
0,750,4,1.6869776248931885,0.023066997528076172
0,1000,4,1.6344308853149414,0.04161524772644043
0,1250,4,1.7059321403503418,0.05883502960205078
0,1500,4,1.7130012512207031,0.09681320190429688
0,1750,4,1.686389684677124,0.13152813911437988
0,2000,4,1.71773362159729,0.1577606201171875
0,250,5,1.8817870616912842,0.0056879520416259766
0,500,5,1.9860169887542725,0.019561290740966797
0,750,5,2.0575664043426514,0.027779817581176758
0,1000,5,1.9191739559173584,0.04873514175415039
0,1250,5,1.9756555557250977,0.07318425178527832
0,1500,5,1.9637620449066162,0.10715484619140625
0,1750,5,1.938575267791748,0.1462726593017578
0,2000,5,2.0211315155029297,0.21533799171447754
0,250,1,0.9735085964202881,0.001955747604370117
0,500,1,0.9401717185974121,0.003571033477783203
0,750,1,0.9963243007659912,0.005505084991455078
0,1000,1,0.9621102809906006,0.010750532150268555
0,1250,1,0.9643189907073975,0.011840581893920898
0,1500,1,1.0129573345184326,0.02031087875366211
0,1750,1,0.9517760276794434,0.024021625518798828
0,2000,1,1.06718111038208,0.0337214469909668
0,250,2,1.1705360412597656,0.003354787826538086
0,500,2,1.149611234664917,0.0055959224700927734
0,750,2,1.261782169342041,0.009746551513671875
0,1000,2,1.207289218902588,0.0196835994720459
0,1250,2,1.1984243392944336,0.03147125244140625
0,1500,2,1.4029643535614014,0.043489694595336914
0,1750,2,1.1831729412078857,0.06279945373535156
0,2000,2,1.2270574569702148,0.06876540184020996
0,250,3,1.3396213054656982,0.0036089420318603516
0,500,3,1.410485029220581,0.008139848709106445
0,750,3,1.4404399394989014,0.016837120056152344
0,1000,3,1.4547102451324463,0.03519916534423828
0,1250,3,1.357792854309082,0.048003435134887695
0,1500,3,1.4922637939453125,0.060657501220703125
0,1750,3,1.3505208492279053,0.09498929977416992
0,2000,3,1.5073113441467285,0.11512589454650879
0,250,4,1.6508996486663818,0.004989147186279297
0,500,4,1.5943949222564697,0.011921882629394531
0,750,4,1.6194543838500977,0.025868654251098633
0,1000,4,1.6858818531036377,0.039273738861083984
0,1250,4,1.7920780181884766,0.05980038642883301
0,1500,4,1.6756744384765625,0.08368444442749023
0,1750,4,1.738508701324463,0.11864089965820312
0,2000,4,1.7377402782440186,0.15115714073181152
0,250,5,1.8916077613830566,0.005440950393676758
0,500,5,1.9148399829864502,0.015325546264648438
0,750,5,1.910796880722046,0.03109908103942871
0,1000,5,1.9252476692199707,0.0540008544921875
0,1250,5,1.9178929328918457,0.07869768142700195
0,1500,5,1.9992339611053467,0.10366630554199219
0,1750,5,1.9610350131988525,0.15304112434387207
