n_particles,parallel_time,serial_time,Pool,ThreadPool
0,1100,0.15591192245483398,0.3040294647216797,True,False
0,1350,0.18388605117797852,0.391080379486084,True,False
0,1600,0.3404502868652344,0.615746021270752,True,False
0,1850,0.2370443344116211,0.7979891300201416,True,False
0,2100,0.22078275680541992,0.7959427833557129,True,False
0,2350,0.3017444610595703,1.0509328842163086,True,False
0,2600,0.460921049118042,1.344270944595337,True,False
0,2850,0.3989524841308594,1.583540678024292,True,False
0,3100,0.40393829345703125,1.5112605094909668,True,False
0,3350,0.6179220676422119,2.1733109951019287,True,False
0,3600,0.49654269218444824,2.3443820476531982,True,False
0,3850,0.6991345882415771,3.138676643371582,True,False
0,4100,0.6253442764282227,3.1499545574188232,True,False
0,4350,0.8701989650726318,3.2038114070892334,True,False
0,4600,1.0403435230255127,3.6531381607055664,True,False
0,4850,0.9785964488983154,4.152043581008911,True,False
0,100,0.04310321807861328,0.002580404281616211,True,False
0,350,0.08190131187438965,0.030079364776611328,True,False
0,600,0.09484124183654785,0.09759926795959473,True,False
0,850,0.11487841606140137,0.1659379005432129,True,False
0,1100,0.1662893295288086,0.26133298873901367,True,False
0,1350,0.17133855819702148,0.4342780113220215,True,False
0,1600,0.218247652053833,0.5931158065795898,True,False
0,1850,0.20910286903381348,0.8125016689300537,True,False
0,2100,0.22681212425231934,0.9261629581451416,True,False
0,2350,0.26197147369384766,0.9314358234405518,True,False
0,2600,0.39952945709228516,1.431654453277588,True,False
0,2850,0.4886507987976074,1.5652718544006348,True,False
0,3100,0.45998120307922363,1.9302937984466553,True,False
0,3350,0.662463903427124,2.056471347808838,True,False
0,3600,0.6298530101776123,2.769914150238037,True,False
0,3850,0.7245209217071533,3.3253111839294434,True,False
0,4100,0.8041996955871582,3.3048384189605713,True,False
0,4350,0.8013472557067871,3.4037857055664062,True,False
0,4600,1.058598279953003,4.219411849975586,True,False
0,4850,0.9859912395477295,4.1058642864227295,True,False
0,100,0.05327272415161133,0.0031249523162841797,True,False
0,350,0.1067812442779541,0.05021095275878906,True,False
0,600,0.09476327896118164,0.09954309463500977,True,False
0,850,0.13161301612854004,0.18547892570495605,True,False
0,1100,0.1500699520111084,0.3659956455230713,True,False
0,1350,0.19903945922851562,0.44167184829711914,True,False
0,1600,0.17325806617736816,0.616807222366333,True,False
0,1850,0.240631103515625,0.8013911247253418,True,False
0,2100,0.2415175437927246,0.9987976551055908,True,False
0,2350,0.3325376510620117,1.1433348655700684,True,False
0,2600,0.3411533832550049,1.3533298969268799,True,False
0,2850,0.3798365592956543,1.5848414897918701,True,False
0,3100,0.3843348026275635,1.7687382698059082,True,False
0,3350,0.5243837833404541,2.3049964904785156,True,False
0,3600,0.6601517200469971,2.707367420196533,True,False
0,3850,0.6226763725280762,2.75803542137146,True,False
0,4100,0.8155734539031982,2.9441330432891846,True,False
0,4350,0.8914763927459717,3.404611825942993,True,False
