mass,x,y,z,vx,vy,vz
0.01,0.6566097384403228,0.10439580548200414,-0.26543307659801824,0.25101791243514876,-0.38540294570174666,0.5849760465813467
0.01,-0.5927024990760822,-0.3103533410450262,-0.5735551593796603,0.6318860025910356,-0.3247549976092708,0.5825216697825036
0.01,-0.26220968529232336,-0.39868829042069764,0.520887165865405,-0.2309274539257632,-1.1247526413920386,-0.6870102286625777
0.01,1.2546182174980434,0.19531541399430646,0.2064925524956553,0.27009349999414534,0.3609656356402032,-0.2943473428403444
0.01,-0.22145454569140108,0.5337180996949342,0.4133408431290419,-0.46267822269279535,0.3026936105696142,0.03316652473051452
0.01,-1.6813722979302135,-1.3268487475813355,-0.2980449060881898,-0.2612646325125112,0.12699631129129033,0.3555668069678368
0.01,-0.31157598627560235,-0.7133090317495085,0.9490580570106871,-0.0542438992729738,-0.07991098165471215,-0.16402462232648457
0.01,0.18830802638910954,0.19898768383975987,-0.08341700733226824,-0.14322854518526779,0.36911494091645763,0.45183381855090665
0.01,0.12189738463181933,-0.056737595290611335,-0.046565436189437766,-0.10444128281462503,0.7896299171123242,0.23008440041520667
0.01,-0.7030030478759265,0.402901589908808,-1.2785687148167761,-0.2509230224033309,0.8380111351214513,-0.11107810961771811
0.01,-0.020723361033632856,0.6234083450956093,0.37104922423708225,0.12743871496722456,-0.16978769151498235,-0.8459428808222533
0.01,0.18360958661410112,-0.18159123042172412,-0.047321857068899714,0.6196359724412411,0.6174908989533745,0.49725801909359635
0.01,0.9722317064131475,4.149296206267053,5.250533069374912,0.0972434684220288,-0.016945630458098607,0.28018812492955025
0.01,0.436974825062832,0.3761793010357214,0.7547911839687158,-0.5702471852664882,-0.15772017439670788,0.33782935731678426
0.01,-0.4926645181247951,0.27214224829992517,0.27951469241983445,0.8793233169268984,0.298201815925031,-0.5149102933517324
0.01,-0.36663577543509,-1.761865048695835,1.1092893334453728,-0.07669380684046331,-0.5173025609546386,-0.14626128136708402
0.01,1.748800274838053,1.3890529858775964,0.17829567822120404,0.02127012728165393,-0.026180890960448334,0.30799414856523527
0.01,0.33627869331829136,0.16943440152099912,0.1334918161106501,0.1972016047973042,-0.18669475789185622,0.9064350785838037
0.01,-0.2100763987518526,0.15614615358803288,0.19566891483271714,0.16010770847630507,-0.1266345975747615,0.8173519010521895
0.01,0.1853343194924762,0.18040218186988488,0.019610759991058793,0.3495113265664867,0.967855479664466,-0.5900911907523815
0.01,0.10296063233252276,0.07988418412541709,-0.07700259197739545,0.13476711410231296,1.2309619705187829,0.3943412019045205
0.01,-0.3795724174969831,-0.04691386263045278,-0.4773241701520064,0.2179753154235797,0.5447039727075316,-0.5326730082820484
0.01,-0.1993977059837853,0.5243966285510698,0.25414086472908737,0.19886467337943692,-0.3990450181128328,0.3773165872322225
0.01,-0.32895130449813537,0.5710214538187551,0.31169215802182043,-0.35532178585819435,0.46248329217738643,0.07613506507778596
0.01,0.07362647927865737,-0.8081002194927915,-0.37654515765577806,0.32045034548060136,-0.24590250254323004,-0.06414052899406258
0.01,-0.221462285887267,0.07835913581204562,-0.08493769293416947,-0.8888462274287258,-0.4174403890151826,-0.16609665147745506
0.01,-0.15316523884193534,-0.2705160390632854,-0.23527687992974644,0.019171411951932643,0.3975059737590787,-0.34836848713790375
0.01,-0.2774258069456114,-0.4822526809463415,-0.7864136631472425,-0.28527292246501457,-0.2403390016136192,-0.05874598596430532
0.01,-0.16043497421884903,0.40827167432927386,-0.6175677838525184,-0.11776571576574932,-0.026348334661434207,0.8442957137136201
0.01,-0.15002055618927762,-3.45535798609643,-0.5889903152495654,-0.2261075716754003,-0.1048846674366212,-0.24202772435274944
0.01,0.054361288551954726,-0.4822025760347901,-0.943535810042662,-0.20629409285949257,-0.487510427636275,-0.22474752576419693
0.01,0.4258537035705968,-0.18830407325170168,-0.0024021287206578644,0.39007858733653894,-0.7820601456455296,0.486351475977757
0.01,-0.18504790539138513,-0.47632136493548133,-0.18247910610170545,-0.11343748412027949,-0.26875393570209305,-0.6214851041021503
0.01,1.7758939583184916,0.9875226454663011,0.4140715178690421,0.3265444712023081,0.3021194376685217,0.5072603477913941
0.01,-0.7823877435327303,-0.3465980624968212,0.2582516591808072,0.22504444502915574,0.02116240915640778,-0.5544453722908846
0.01,-0.13966774411106245,-0.4446063478128515,-0.25772232481148777,-0.2910731128433133,0.1122417546100788,-0.23194205471658433
0.01,-0.1794290240904798,0.10265360281085274,-0.5730685002676081,0.8040715255900537,0.25803305472795784,-0.7625220887002065
0.01,-0.7135738431825663,-0.10728873146201842,-1.5491743315840756,-0.13528494021130483,-0.24950209828300948,0.23432901664598887
0.01,0.2520241724111373,0.5152953687329035,0.10181911351520562,-0.1750021280512169,0.03796025282592898,-0.46545562140494223
0.01,-0.25406473213720937,0.27119816690770493,0.22537681216474828,-0.11278155199311873,0.29172902769145614,0.23123368850288106
0.01,0.9857218201148165,-1.0717666365359357,0.001193118948494194,0.46411620914091456,0.368975983531796,0.37198432447227164
0.01,-0.1464644421569156,-0.47666348399748915,0.36355684115587295,0.0774318547010443,0.1717993665282994,0.6757871239231387
0.01,-0.47568012164900597,-0.19189849198044678,0.286216495540843,0.09939358881605054,0.8245441044991518,-0.4205947221333716
0.01,0.421095001951334,0.3044546101571043,-0.07183545134892498,0.6070033187798901,0.10795385776971655,0.17323707234350993
0.01,0.15830617211658757,-0.5863996676424924,0.3033673533134416,-0.9411885308992106,0.18267388199280293,0.0601989180698719
0.01,-0.05259983445215774,0.24088267204625713,1.2783706719794081,0.2534930583432993,0.21241846169169742,0.13924956136639335
0.01,0.3974073608765864,-1.303079075751097,0.24598794746334537,-0.22356030744527072,-0.9177204698536618,-0.03944200698756686
0.01,-0.5803637022946618,-0.4313930721568023,0.9310116886978375,-0.3442203276081111,-0.2570327527661832,0.2691885428952612
0.01,-0.10387973875942624,0.01933429735843936,-0.19111911437649737,-0.7701156442101935,-0.2956040416531025,-0.22099659481300518
0.01,-0.6928854865760163,-0.14583163027790816,0.15362873662059912,-0.05967324239222384,-0.45357301354895063,-0.0517297549260917
0.01,0.002299162421215727,0.6316802267977901,0.4013965208728385,-0.2423441650992444,0.36591058557820777,-0.5320708290241
0.01,-0.07887446919965953,-0.055817889960464835,0.07853576109291427,0.4851002321169909,0.012523862666651854,-0.1810878282356176
0.01,-0.033754446741534445,-4.214110224948016,4.118918671263084,0.22961049916226398,0.12269215873456356,0.17581516658434004
0.01,-1.2934138141764158,-0.055277324104059215,-0.907326869771088,-0.19087327590336706,-0.6822293770481805,-0.16787074746122457
0.01,-0.03175513970441811,-0.2523728435434822,-0.19828562454154433,0.05750354744334591,-0.8781937391245432,0.6819419585636334
0.01,-0.40695750967545463,-0.2319446119800976,-0.4519897114061591,-0.03387528272607817,-0.7807745897256917,-0.37836928065862824
0.01,-0.548107676604099,-0.6566912175290532,0.04256309898782024,-0.3621605232856704,0.5438905908529396,-0.34953823562293174
0.01,-0.8294084197953882,-0.005279846150535887,1.5692537854017454,0.22003154669166625,-0.014195548181248855,0.19410007235695606
0.01,-0.48467474018558965,-0.18630586989570277,2.3912532607177153,0.23907306908810705,-0.04194701888345857,0.2317264834125095
